profile_id,latitude,longitude,upper_depth,lower_depth,date,bdfi33,bdfiod,bdwsod,cecph7,cfgr,cfvo,clay,ecec,elco20,elcosp,nitkjd,orgc,phaq,phca,phetb1,phkc,phnf,phprtn,sand,silt,totc,wg0006,wg0010,wg0033,wg0200,wg1500
1566357,17.277005611506006,-98.15772636795785,45,65,2003-5-20,,,,,,,25.0,,,0.0,,9.0,4.8,,,,,,74.0,1.0,,,,,,
1566366,16.585923768385086,-98.3387586207768,0,19,1985-7-13,,,,,,,18.0,,,1.0,,17.0,5.9,,,,,,66.0,16.0,,,,,,
1566366,16.585923768385086,-98.3387586207768,19,35,1985-7-13,,,,,,,28.0,,,1.0,,3.0,6.3,,,,,,36.0,36.0,,,,,,
1566366,16.585923768385086,-98.3387586207768,35,70,1985-7-13,,,,,,,30.0,,,1.0,,8.0,6.2,,,,,,46.0,24.0,,,,,,
1566366,16.585923768385086,-98.3387586207768,70,111,1985-7-13,,,,,,,30.0,,,1.0,,3.0,6.2,,,,,,44.0,26.0,,,,,,
1566367,16.4957123581143,-98.30897852857412,0,9,1985-9-24,,,,,,,38.0,,,1.0,,18.0,5.3,,,,,,48.0,14.0,,,,,,
1566367,16.4957123581143,-98.30897852857412,9,24,1985-9-24,,,,,,,50.0,,,1.0,,8.0,5.7,,,,,,28.0,22.0,,,,,,
1566367,16.4957123581143,-98.30897852857412,24,43,1985-9-24,,,,,,,48.0,,,1.0,,4.0,5.8,,,,,,24.0,28.0,,,,,,
1566367,16.4957123581143,-98.30897852857412,43,79,1985-9-24,,,,,,,48.0,,,1.0,,3.0,6.4,,,,,,22.0,30.0,,,,,,
1566367,16.4957123581143,-98.30897852857412,79,107,1985-9-24,,,,,,,42.0,,,1.0,,1.0,6.4,,,,,,26.0,32.0,,,,,,
1566368,16.66320341798582,-99.09367130923314,0,28,2003-11-4,,,,,,,12.0,,,0.1,,12.0,6.1,,,,,,62.0,26.0,,,,,,
1566368,16.66320341798582,-99.09367130923314,28,50,2003-11-4,,,,,,,,,,0.0,,0.0,6.3,,,,,,,,,,,,,
1566368,16.66320341798582,-99.09367130923314,50,70,2003-11-4,,,,,,,,,,0.0,,1.0,6.5,,,,,,,,,,,,,
1566368,16.66320341798582,-99.09367130923314,70,97,2003-11-4,,,,,,,33.0,,,0.1,,15.0,6.2,,,,,,34.0,33.0,,,,,,
1566368,16.66320341798582,-99.09367130923314,97,125,2003-11-4,,,,,,,20.0,,,0.1,,8.0,6.3,,,,,,38.0,42.0,,,,,,
1566369,16.97074053241593,-96.59509524860684,0,19,1985-11-25,,,,,,,8.0,,,2.0,,5.0,8.2,,,,,,68.0,24.0,,,,,,
1566369,16.97074053241593,-96.59509524860684,19,46,1985-11-25,,,,,,,10.0,,,2.0,,1.0,8.3,,,,,,78.0,12.0,,,,,,
1566369,16.97074053241593,-96.59509524860684,46,89,1985-11-25,,,,,,,2.0,,,2.0,,0.0,8.4,,,,,,94.0,4.0,,,,,,
1566374,16.3207257692931,-96.21790726997106,0,15,1985-11-21,,,,,,,38.0,,,2.0,,23.0,5.1,,,,,,40.0,22.0,,,,,,
1566374,16.3207257692931,-96.21790726997106,15,46,1985-11-21,,,,,,,36.0,,,2.0,,3.0,5.7,,,,,,44.0,20.0,,,,,,
1566374,16.3207257692931,-96.21790726997106,46,79,1985-11-21,,,,,,,42.0,,,2.0,,2.0,5.3,,,,,,48.0,10.0,,,,,,
1566374,16.3207257692931,-96.21790726997106,79,105,1985-11-21,,,,,,,44.0,,,2.0,,1.0,5.2,,,,,,44.0,12.0,,,,,,
1566378,18.29062734933598,-95.10728007635007,0,23,????-??-??,,,,,,,42.0,,,1.0,,,6.6,,,,,,30.0,28.0,,,,,,
1566378,18.29062734933598,-95.10728007635007,23,31,????-??-??,,,,,,,54.0,,,1.0,,,6.1,,,,,,22.0,24.0,,,,,,
1566378,18.29062734933598,-95.10728007635007,31,44,????-??-??,,,,,,,56.0,,,1.0,,,5.7,,,,,,20.0,24.0,,,,,,
1566378,18.29062734933598,-95.10728007635007,44,65,????-??-??,,,,,,,56.0,,,1.0,,,5.9,,,,,,18.0,26.0,,,,,,
1566378,18.29062734933598,-95.10728007635007,65,106,????-??-??,,,,,,,46.0,,,1.0,,,5.6,,,,,,26.0,28.0,,,,,,
1566378,18.29062734933598,-95.10728007635007,106,125,????-??-??,,,,,,,46.0,,,1.0,,,5.2,,,,,,30.0,24.0,,,,,,
1566384,19.040856712490953,-90.9212102801103,0,18,1983-5-16,,,,,,,60.0,,,6.5,,39.0,7.6,,,,,,20.0,20.0,,,,,,
1566384,19.040856712490953,-90.9212102801103,18,45,1983-5-16,,,,,,,66.0,,,5.0,,8.0,8.0,,,,,,24.0,10.0,,,,,,
1566384,19.040856712490953,-90.9212102801103,45,80,1983-5-16,,,,,,,64.0,,,4.5,,9.0,8.0,,,,,,24.0,12.0,,,,,,
1566385,18.63739048738091,-92.36116180547288,0,13,????-??-??,,,,,,,14.0,,,1.0,,,7.9,,,,,,74.0,12.0,,,,,,
1566385,18.63739048738091,-92.36116180547288,13,32,????-??-??,,,,,,,20.0,,,1.0,,,8.1,,,,,,70.0,10.0,,,,,,
1566385,18.63739048738091,-92.36116180547288,32,45,????-??-??,,,,,,,14.0,,,1.0,,,8.2,,,,,,76.0,10.0,,,,,,
1566387,18.136569495312873,-93.44850116416539,0,10,1982-1-29,,,,,,,34.0,,,2.0,,34.0,5.8,,,,,,40.0,26.0,,,,,,
1566387,18.136569495312873,-93.44850116416539,10,40,1982-1-29,,,,,,,42.0,,,2.0,,8.0,5.6,,,,,,40.0,18.0,,,,,,
1566387,18.136569495312873,-93.44850116416539,40,70,1982-1-29,,,,,,,48.0,,,2.0,,6.0,5.6,,,,,,34.0,18.0,,,,,,
1566387,18.136569495312873,-93.44850116416539,70,100,1982-1-29,,,,,,,54.0,,,2.0,,4.0,5.5,,,,,,28.0,18.0,,,,,,
1566389,18.076038652779364,-93.8325733195778,0,19,????-??-??,,,,,,,26.0,,,1.0,,,5.4,,,,,,38.0,36.0,,,,,,
1566389,18.076038652779364,-93.8325733195778,19,39,????-??-??,,,,,,,30.0,,,1.0,,,5.5,,,,,,40.0,30.0,,,,,,
1566389,18.076038652779364,-93.8325733195778,39,82,????-??-??,,,,,,,34.0,,,1.0,,,5.9,,,,,,26.0,40.0,,,,,,
1566390,18.050131706502036,-92.88984247860088,0,19,????-??-??,,,,,,,22.0,,,1.0,,,7.6,,,,,,36.0,42.0,,,,,,
1566390,18.050131706502036,-92.88984247860088,19,60,????-??-??,,,,,,,6.0,,,1.0,,,8.0,,,,,,46.0,48.0,,,,,,
1566390,18.050131706502036,-92.88984247860088,60,90,????-??-??,,,,,,,6.0,,,1.0,,,8.0,,,,,,34.0,60.0,,,,,,
1566391,18.142863554824082,-93.979009526591,0,7,2004-5-11,,,,,,,26.0,,,0.2,,30.0,4.8,,,,,,46.0,28.0,,,,,,
1566391,18.142863554824082,-93.979009526591,7,12,2004-5-11,,,,,,,24.0,,,0.1,,18.0,4.8,,,,,,32.0,44.0,,,,,,
1566391,18.142863554824082,-93.979009526591,12,33,2004-5-11,,,,,,,33.0,,,0.1,,5.0,5.8,,,,,,23.0,44.0,,,,,,
