profile_id,latitude,longitude,upper_depth,lower_depth,date,clay,orgc,phaq,phca,sand,geometry,bedrock
1423242,53.11666666666667,-2.9166666666666665,84,104,1981-6-1,41.0,3.0,8.4,7.9,14.0,POINT (-2.9166666666666337 53.11666666666665),rocas_igneas
1448048,57.5,-5.400000095367432,0,26,????-??-??,7.0,61.8,5.5,4.8,75.0,POINT (-5.400000095367425 57.5),rocas_igneas
1448048,57.5,-5.400000095367432,26,72,????-??-??,8.0,8.1,6.1,5.0,52.0,POINT (-5.400000095367425 57.5),rocas_igneas
1448048,57.5,-5.400000095367432,72,86,????-??-??,8.0,2.8,6.4,5.3,57.0,POINT (-5.400000095367425 57.5),rocas_igneas
1457893,57.23888888888889,-3.6777777777777776,0,6,1976-6-1,3.0,78.7,3.8,3.1,88.0,POINT (-3.6777777777777794 57.23888888888888),rocas_igneas
1457893,57.23888888888889,-3.6777777777777776,6,56,1976-6-1,2.0,20.2,4.7,4.9,95.0,POINT (-3.6777777777777794 57.23888888888888),rocas_igneas
1457893,57.23888888888889,-3.6777777777777776,56,103,1976-6-1,1.0,2.1,5.3,5.2,97.0,POINT (-3.6777777777777794 57.23888888888888),rocas_igneas
1457912,51.666666666666664,0.05,0,8,????-??-??,15.0,250.0,3.8,3.0,27.0,POINT (0.0500000000000605 51.66666666666666),rocas_igneas
1457912,51.666666666666664,0.05,8,25,????-??-??,10.0,28.0,3.7,3.3,38.0,POINT (0.0500000000000605 51.66666666666666),rocas_igneas
1457912,51.666666666666664,0.05,25,40,????-??-??,29.0,9.0,4.0,3.5,30.0,POINT (0.0500000000000605 51.66666666666666),rocas_igneas
1457912,51.666666666666664,0.05,40,60,????-??-??,49.0,5.0,4.0,3.6,15.0,POINT (0.0500000000000605 51.66666666666666),rocas_igneas
1457912,51.666666666666664,0.05,60,100,????-??-??,51.0,2.0,4.1,3.6,9.0,POINT (0.0500000000000605 51.66666666666666),rocas_igneas
1457913,52.45,0.08333333333333333,0,22,1981-6-1,59.0,190.0,5.9,5.6,7.0,POINT (0.0833333333333578 52.45),rocas_igneas
1457913,52.45,0.08333333333333333,22,44,1981-6-1,69.0,190.0,5.4,5.1,7.0,POINT (0.0833333333333578 52.45),rocas_igneas
1457913,52.45,0.08333333333333333,56,71,1981-6-1,60.0,30.0,3.7,3.6,1.0,POINT (0.0833333333333578 52.45),rocas_igneas
1457913,52.45,0.08333333333333333,71,86,1981-6-1,57.0,60.0,3.2,3.1,3.0,POINT (0.0833333333333578 52.45),rocas_igneas
1478639,52.45,0.08333333333333333,0,22,1981-6-1,59.0,190.0,5.9,5.6,7.0,POINT (0.0833333333333578 52.45),rocas_igneas
1478639,52.45,0.08333333333333333,22,44,1981-6-1,69.0,190.0,5.4,5.1,7.0,POINT (0.0833333333333578 52.45),rocas_igneas
1478639,52.45,0.08333333333333333,56,71,1981-6-1,60.0,30.0,3.7,3.6,1.0,POINT (0.0833333333333578 52.45),rocas_igneas
1478639,52.45,0.08333333333333333,71,86,1981-6-1,57.0,60.0,3.2,3.1,3.0,POINT (0.0833333333333578 52.45),rocas_igneas
1478667,51.666666666666664,0.05,0,8,????-??-??,15.0,250.0,3.8,3.0,27.0,POINT (0.0500000000000605 51.66666666666666),rocas_igneas
1478667,51.666666666666664,0.05,8,25,????-??-??,10.0,28.0,3.7,3.3,38.0,POINT (0.0500000000000605 51.66666666666666),rocas_igneas
1478667,51.666666666666664,0.05,25,40,????-??-??,29.0,9.0,4.0,3.5,30.0,POINT (0.0500000000000605 51.66666666666666),rocas_igneas
1478667,51.666666666666664,0.05,40,60,????-??-??,49.0,5.0,4.0,3.6,15.0,POINT (0.0500000000000605 51.66666666666666),rocas_igneas
1478667,51.666666666666664,0.05,60,100,????-??-??,51.0,2.0,4.1,3.6,9.0,POINT (0.0500000000000605 51.66666666666666),rocas_igneas
