date,elcosp,landcover,latitude,longitude,lower_depth,orgc,phaq,precipitation,sand,temperature,upper_depth,ecoregion,rock_fragments,silt_plus_clay,depth_fraction,soc_tha
4/11/2005,0.1,17,27.77323,-114.586784,21,0.0,8.9,83.41119385,88.0,16.08542633,11,5,11.175725247013048,12.0,0.15625,-0.0
4/13/2005,0.1,17,27.51826,-114.307106,16,1.0,8.2,83.41119385,96.0,16.08542633,0,5,4.333893293005343,4.0,0.17777777777777778,-0.08988531933226994
4/14/2005,0.1,17,27.960922,-113.943535,20,1.0,8.6,83.41119385,92.0,16.08542633,0,5,1.0749799180796549,8.0,1.0,-0.01137115445628814
4/15/2005,0.1,17,27.798883,-114.15168,20,2.0,8.5,83.41119385,84.0,16.08542633,6,5,1.95936697067047,16.0,0.2692307692307692,-0.07299926596274602
4/15/2005,1.5,17,27.923084,-114.117645,10,1.0,8.6,83.41119385,92.0,16.08542633,0,5,0.1247260626868458,8.0,1.0,0.13274054423716372
4/16/2005,11.7,17,27.987629,-114.08632,20,16.0,5.6,83.41119385,74.0,16.08542633,8,5,0.1247260626868458,26.0,0.21428571428571427,-0.010515291004612352
4/26/2004,0.0,7,23.889097,-103.34816,15,1.0,6.9,83.12443542,98.0,16.3982811,0,5,5.733966581837488,2.0,1.0,-0.7179344359351462
4/6/2005,0.1,17,27.088072,-113.38601,10,2.0,8.5,83.41119385,86.0,16.08542633,0,5,2.1712052687003482,14.0,1.0,-0.33101071786116726
4/7/2005,0.0,17,27.065903,-113.93223,20,1.0,8.0,83.41119385,72.0,16.08542633,9,5,15.0369259013051,28.0,0.1896551724137931,-0.4037349030926136
4/7/2005,0.1,17,27.065903,-113.93223,9,0.0,7.9,83.41119385,72.0,16.08542633,0,5,15.0369259013051,28.0,0.15517241379310345,-0.0
4/8/2005,0.1,17,27.239948,-114.41675,8,2.0,8.9,83.41119385,84.0,16.08542633,0,5,9.090710901989201,16.0,0.12903225806451613,-0.29504891328565114
4/9/2005,0.1,17,27.213139,-114.20477,8,1.0,8.6,83.41119385,84.0,16.08542633,0,5,4.242398798166643,16.0,1.0,-0.49172923213476044
4/9/2005,0.1,17,27.392681,-114.07376,20,1.0,8.8,83.41119385,76.0,16.08542633,0,5,2.589878551368099,24.0,1.0,-0.24111462158628041
5/13/2003,0.1,16,31.149652,-108.10542,23,0.0,9.0,179.6077271,96.0,16.42349434,0,5,20.62623785537469,4.0,1.0,-0.0
5/19/2004,0.1,9,17.975277,-95.253265,5,26.0,6.0,147.1418762,94.0,16.67577553,0,1,12.564400381816771,6.0,0.1,3.2155324095258324
5/20/2003,0.0,4,18.097633,-91.27389,15,12.0,6.2,179.6077271,90.0,16.42349434,0,1,0.00259310134257465,10.0,0.16666666666666666,0.07554758813190807
5/20/2003,0.0,4,18.097633,-91.27389,30,3.0,5.7,179.6077271,92.0,16.42349434,15,1,0.00259310134257465,8.0,0.16666666666666666,0.06531419335168284
