bedrock,date,ecoregion,elcosp,geometry,landcover,latitude,longitude,lower_depth,orgc,phaq,precipitation,sand,slopemean,soil_type,temperature,upper_depth,rock_fragments,organic_matter,bulk_density,silt_plus_clay,depth_fraction,soc_tha
rocas_igneas,11/14/2002,5,0.2,POINT (-112.71838 31.513245),7.0,31.513245,-112.71838,10,5.0,8.1,43.62361145,68.0,0.8138591194040464,YERMOSOL HAPLICO,13.86884212,0,14.99287200206551,8.62,1.1028000000000002,32.0,10,4.687293037806109
rocas_igneas,11/2/2002,2,0.0,POINT (-103.15269 21.320276),10.0,21.320276,-103.15269,12,21.0,7.2,43.62361145,68.0,1.8373723030090332,CAMBISOL CALCICO (calcarico),13.86884212,0,8.173227985117446,36.204,-0.5522399999999998,32.0,12,-12.779024977529682
rocas_igneas,11/2/2002,2,0.0,POINT (-103.38221 21.190374),12.0,21.190374,-103.38221,19,0.0,7.5,43.62361145,91.0,2.016033858060837,FEOZEM HAPLICO,13.86884212,4,8.439720167921632,0.0,1.62,9.0,15,0.0
rocas_igneas,11/25/2002,4,0.1,POINT (-102.381 19.512821),4.0,19.512821,-102.381,22,16.0,7.2,43.62361145,74.0,3.8845001326666937,ANDOSOL OCRICO,13.86884212,0,2.1358826539044555,27.584,-0.03503999999999974,26.0,22,-1.207063852476121
rocas_igneas,11/4/2003,5,0.1,POINT (-104.70018 28.869526),9.0,28.869526,-104.70018,8,1.0,8.1,22.05642509,90.0,0.335779701671299,XEROSOL HAPLICO,13.04871178,0,2.0376246260045767,1.724,1.5165600000000001,10.0,8,1.1885265599774921
rocas_igneas,11/5/2003,5,0.1,POINT (-104.19017 28.793144),9.0,28.793144,-104.19017,16,10.0,7.6,22.05642509,76.0,0.8669268814945645,LITOSOL,13.04871178,0,26.124466123128162,17.24,0.5856000000000003,24.0,16,6.921842022127389
rocas_igneas,11/6/2002,4,0.0,POINT (-103.62335 21.80286),10.0,21.80286,-103.62335,11,10.0,5.7,43.62361145,70.0,11.18533706665039,FEOZEM HAPLICO,13.86884212,0,13.711037205301935,17.24,0.5856000000000003,30.0,11,5.558389827383274
rocas_igneas,3/4/2003,5,0.1,POINT (-103.01702 22.688375),10.0,22.688375,-103.01702,18,4.0,6.9,30.68841934,78.0,0.9360096450724633,REGOSOL EUTRICO,16.39164162,0,6.305422597543812,6.896,1.2062400000000002,22.0,18,8.137306587307592
rocas_igneas,5/19/2004,1,0.0,POINT (-92.32616 14.895821),8.0,14.895821,-92.32616,28,2.0,6.0,147.1418762,80.0,0.9143368881065529,FLUVISOL EUTRICO,16.67577553,10,1.3311041720560994,3.448,1.4131200000000002,20.0,18,5.019515642605827
rocas_igneas,5/30/2005,5,0.1,POINT (-111.98424 28.87752),17.0,28.87752,-111.98424,15,1.0,8.6,88.00628662,74.0,0.9396289046853781,REGOSOL EUTRICO,16.90192795,0,17.615219975566625,1.724,1.5165600000000001,26.0,15,1.8741219299078204
