date,profile_id,longitude,latitude,upper_depth,lower_depth,clay,elcosp,orgc,phaq,sand,silt,geometry,soil_type,slopemean,bedrock
1971-10-18,1427702,-101.16543787496973,20.2942575680768,0,22,60.0,2.0,14.0,6.7,24.0,16.0,POINT (-101.16543787496973 20.294257568076798),VERTISOL PELICO,1.774899184703827,rocas_sedimentarias
1971-10-19,1670896,-101.13065680724011,20.427159500381805,0,26,48.0,2.0,8.0,8.7,40.0,12.0,POINT (-101.13065680724011 20.427159500381805),VERTISOL PELICO,0.19090089128438642,rocas_sedimentarias
1971-10-21,1427700,-101.6692424412262,20.80794632495993,0,18,44.0,2.0,6.0,6.8,26.0,30.0,POINT (-101.6692424412262 20.80794632495993),VERTISOL PELICO,0.20154347621342716,rocas_sedimentarias
1971-10-22,1496846,-102.19816100283929,20.980045005289288,0,23,24.0,2.0,6.0,6.8,40.0,36.0,POINT (-102.19816100283929 20.980045005289284),FEOZEM HAPLICO,0.2849990736693144,rocas_sedimentarias
1971-10-3,1427701,-101.238223812313,20.64750909930213,0,20,54.0,2.0,11.0,6.7,30.0,16.0,POINT (-101.238223812313 20.647509099302127),VERTISOL PELICO,0.19090089128438642,rocas_sedimentarias
1971-10-5,1253965,-101.009279821947,20.19921986504815,0,20,62.0,5.5,16.0,8.8,24.0,14.0,POINT (-101.009279821947 20.199219865048153),VERTISOL PELICO,0.19090089128438642,rocas_igneas
1971-10-5,1323328,-101.05716280952971,20.26471711530466,0,25,32.0,6.0,3.0,9.8,37.0,31.0,POINT (-101.05716280952971 20.264717115304663),VERTISOL PELICO,0.8354733809828758,rocas_igneas
1971-10-7,1427703,-101.1335652480424,20.141503080060083,0,20,60.0,2.0,19.0,6.2,26.0,14.0,POINT (-101.1335652480424 20.14150308006008),VERTISOL PELICO,4.910319089889526,rocas_igneas
1971-11-27,1496976,-101.59946610880245,20.29322430972231,0,30,56.0,2.0,8.0,7.6,28.0,16.0,POINT (-101.59946610880246 20.2932243097223),VERTISOL PELICO,0.19090089128438642,rocas_sedimentarias
1971-11-6,1601454,-100.74494516001712,20.03754689874115,0,22,46.0,2.0,14.0,6.5,40.0,14.0,POINT (-100.74494516001712 20.03754689874115),VERTISOL PELICO,0.26895361066225076,rocas_igneas
1971-11-8,1462252,-100.565061602455,20.460967535105976,0,20,62.0,2.0,13.0,6.5,24.0,14.0,POINT (-100.565061602455 20.46096753510597),VERTISOL PELICO,2.6524815559387207,rocas_sedimentarias
1971-12-1,1149340,-102.62781336917644,20.952244281650177,0,17,56.0,2.0,8.0,6.3,20.0,24.0,POINT (-102.62781336917644 20.952244281650174),FEOZEM HAPLICO,1.760505735874176,rocas_sedimentarias
1971-12-1,1636173,-102.50207078900648,20.97076888360692,0,15,18.0,2.0,4.0,6.7,54.0,28.0,POINT (-102.50207078900648 20.97076888360692),FEOZEM HAPLICO,0.3177239490406854,rocas_sedimentarias
1971-12-1,1636173,-102.50207078900648,20.97076888360692,15,21,14.0,2.0,2.0,6.9,58.0,28.0,POINT (-102.50207078900648 20.97076888360692),FEOZEM HAPLICO,0.3177239490406854,rocas_sedimentarias
1971-12-10,1566586,-100.01371228867816,20.07008120857069,0,19,20.0,2.0,12.0,5.8,58.0,22.0,POINT (-100.01371228867816 20.070081208570695),FEOZEM LUVICO,1.9262107253074645,rocas_igneas
