date,profile_id,longitude,latitude,upper_depth,lower_depth,clay,phaq,sand,silt,tceq
1982-4-5,1601147,-102.34606243016177,18.28983694522846,0,16,10.0,6.0,76.0,14.0,0.0
1982-4-5,1635972,-103.19237388851103,18.559048774656173,0,23,34.0,5.7,32.0,34.0,0.0
1982-4-5,1670596,-103.81576379926223,18.901758108142175,0,25,18.0,6.0,44.0,38.0,0.0
1982-6-11,1670613,-96.5757052359044,19.70407026726195,0,28,38.0,6.5,38.0,24.0,0.0
1982-6-12,1323040,-97.53450355900969,19.799411258746908,0,23,16.0,6.2,56.0,28.0,0.0
1982-6-13,1288469,-97.21852940067559,19.951126924405948,0,19,46.0,5.4,30.0,24.0,0.0
1982-6-13,1427410,-96.92337615706519,19.939203451645625,0,28,36.0,6.6,28.0,36.0,0.0
1982-6-14,1392612,-96.60607608190422,19.985494862891393,0,24,46.0,5.7,28.0,26.0,0.0
1982-6-16,1149152,-97.51253865148549,19.14390314527535,0,21,4.0,5.5,92.0,4.0,0.0
1982-6-5,1288470,-97.21209416681185,19.859485014102148,0,13,16.0,5.1,72.0,12.0,0.0
1982-6-5,1288470,-97.21209416681185,19.859485014102148,13,26,60.0,6.0,30.0,10.0,0.0
1982-6-6,1288472,-96.8485948428684,19.683351523816285,0,19,12.0,5.2,50.0,38.0,0.0
1982-7-18,1254311,-108.17991695367353,30.126982549661044,0,16,18.0,6.9,52.0,30.0,0.0
1982-7-21,1358236,-108.38775284749006,26.385832011743677,0,15,12.0,6.6,64.0,24.0,0.0
1982-7-21,1358236,-108.38775284749006,26.385832011743677,15,28,20.0,6.9,64.0,16.0,0.0
1982-7-21,1497323,-108.4557324571062,30.076714783460417,0,9,18.0,5.4,46.0,36.0,0.0
1982-7-21,1497323,-108.4557324571062,30.076714783460417,9,23,16.0,5.1,58.0,26.0,0.0
1982-7-22,1497320,-108.2223581492154,30.37175961746867,0,4,16.0,5.2,64.0,20.0,0.0
1982-7-22,1497321,-108.39780541472668,30.324668238625204,0,5,22.0,6.0,44.0,34.0,0.0
1982-7-24,1532089,-108.31042936015291,30.70450157556331,0,9,18.0,5.6,68.0,14.0,0.0
1982-7-24,1532089,-108.31042936015291,30.70450157556331,9,30,18.0,6.6,64.0,18.0,0.0
1982-7-26,1288794,-110.0243787393941,27.631730856022195,0,15,24.0,5.2,50.0,26.0,0.0
1982-7-27,1601775,-108.37902145038105,30.845995048417812,0,5,18.0,5.9,68.0,14.0,0.0
1982-7-27,1601775,-108.37902145038105,30.845995048417812,5,17,22.0,6.2,62.0,16.0,0.0
1982-8-11,1288837,-108.46388251880181,25.321329315166274,0,27,22.0,7.0,24.0,54.0,0.0
1982-8-13,1323421,-108.07580521927188,26.457518713448014,0,12,14.0,5.7,68.0,18.0,0.0
1982-8-15,1149565,-108.40617672336705,25.818734389981586,0,13,14.0,7.0,72.0,14.0,0.0
1982-8-7,1358239,-108.87476590763781,26.225928584617606,0,17,20.0,6.5,60.0,20.0,0.0
1982-8-9,1497313,-110.12513907963134,30.057858946406515,0,18,16.0,5.8,68.0,16.0,0.0
1983-11-1,1566894,-109.63683862475109,30.811403249718136,0,27,10.0,6.6,80.0,10.0,0.0
1983-11-1,1636602,-109.92331634930643,30.807655560830067,0,23,14.0,6.6,68.0,18.0,0.0
1983-11-25,1393265,-107.42300707815241,29.550836851288032,0,6,20.0,6.8,58.0,22.0,0.0
1983-11-28,1428088,-107.41310998738308,29.01964161885866,0,21,16.0,5.1,68.0,16.0,0.0
1983-11-29,1671274,-107.03599294627011,29.25162426758164,0,18,18.0,5.6,48.0,34.0,0.0
1983-11-29,1671274,-107.03599294627011,29.25162426758164,18,30,24.0,5.6,44.0,32.0,0.0
1983-11-7,1254308,-109.63967259087072,30.34728982601115,0,17,22.0,6.6,52.0,26.0,0.0
1983-11-7,1462560,-109.58977899984338,30.31432558180155,0,7,28.0,6.5,40.0,32.0,0.0
1983-11-8,1288723,-99.55800177139444,20.06136669156432,0,27,34.0,5.5,34.0,32.0,0.0
1983-11-8,1532095,-109.62334031631597,30.081578759890697,0,21,18.0,6.9,56.0,26.0,0.0
1983-2-26,1392680,-94.60697478727633,17.96778935935662,0,18,4.0,4.1,84.0,12.0,0.0
1983-2-26,1392680,-94.60697478727633,17.96778935935662,18,26,4.0,4.1,82.0,14.0,0.0
1983-3-10,1149491,-88.53971044103947,20.21826546974592,0,16,44.0,6.6,32.0,24.0,0.0
