,upper_depth,lower_depth,elcosp,orgc,phaq,sand,tceq,temperature,precipitation,organic_matter,bulk_density,silt_plus_clay,landcover,geometry,spatial_lag,moran_i,dist_knn_km,knn_target_mean,dist_to_hotspot_km
1244,0,23,2.0,20.0,6.6,34.0,0.0,17.2745266,77.15855408,34.48,-0.4487999999999994,66.0,0.0,POINT (-106.08553 26.183008),16.25,0.030993917528330844,92.64991877868184,21.6,27.83941212669298
1245,0,15,2.0,13.0,6.5,60.0,0.0,17.2745266,77.15855408,22.412,0.2752800000000002,40.0,0.0,POINT (-106.138 26.348183),21.6,-0.06433813374911486,72.51886518260406,18.0,38.96208506609557
1246,15,28,2.0,8.0,5.4,48.0,0.0,17.2745266,77.15855408,13.792,0.7924800000000002,52.0,0.0,POINT (-106.138 26.348183),22.1,-0.24332709722890952,72.51886518260406,18.0,38.96208506609557
1247,0,12,2.0,18.0,6.1,58.0,0.0,17.2745266,77.15855408,31.032,-0.2419199999999999,42.0,0.0,POINT (-106.0491 26.457739),10.833333333333334,-0.06127325549809208,84.89709331086182,9.8,53.856422939271056
1248,12,30,2.0,5.0,6.0,54.0,0.0,17.2745266,77.15855408,8.62,1.1028000000000002,46.0,0.0,POINT (-106.0491 26.457739),11.916666666666668,0.15014053385374,84.89709331086182,9.8,53.856422939271056
1249,0,8,2.0,33.0,6.6,46.0,0.0,17.2745266,77.15855408,56.891999999999996,-1.7935199999999996,54.0,0.0,POINT (-106.47815 26.361887),21.5,0.5743793619794707,34.41028176549868,20.4,40.272626249633895
1250,0,20,2.0,31.0,6.6,42.0,0.0,17.2745266,77.15855408,53.444,-1.58664,58.0,0.0,POINT (-106.401306 26.42063),17.857142857142858,0.22500563591669046,56.46048004633731,20.8,44.06666412271369
1251,0,9,2.0,35.0,6.4,60.0,0.0,17.2745266,77.15855408,60.339999999999996,-2.0003999999999995,40.0,0.0,POINT (-106.375824 26.326586),21.1,0.5989602027824962,36.497606795739074,21.8,33.31092538373341
1252,0,12,2.0,38.0,5.6,24.0,0.0,17.2745266,77.15855408,65.512,-2.31072,76.0,0.0,POINT (-107.29871 26.464502),19.09090909090909,0.4623778824784699,90.46892514145193,24.8,48.524307434238146
1253,12,24,2.0,15.0,5.1,44.0,0.0,17.2745266,77.15855408,25.86,0.06840000000000024,56.0,0.0,POINT (-107.29871 26.464502),21.18181818181818,0.0003892574541983615,90.46892514145193,24.8,48.524307434238146
1254,0,19,2.0,38.0,6.3,50.0,0.0,17.2745266,77.15855408,65.512,-2.31072,50.0,0.0,POINT (-107.178474 26.337505),24.714285714285715,1.0959762116041454,68.54836981252456,28.6,31.16138350328203
1255,19,30,2.0,17.0,6.5,46.0,0.0,17.2745266,77.15855408,29.308,-0.13847999999999971,54.0,0.0,POINT (-107.178474 26.337505),27.714285714285715,0.1254252319576438,68.54836981252456,28.6,31.16138350328203
1256,0,18,2.0,34.0,6.9,40.0,0.0,17.2745266,77.15855408,58.616,-1.8969599999999995,60.0,0.0,POINT (-107.099396 26.066395),29.499999999999996,1.3509704283561006,66.02436928920856,33.0,0.0
1257,0,22,2.0,30.0,6.6,34.0,0.0,17.2745266,77.15855408,51.72,-1.4831999999999996,66.0,0.0,POINT (-107.04728 26.206707),24.888888888888886,0.7278136822974335,80.7775460696532,31.2,16.446528950670146
1258,0,8,2.0,31.0,6.7,40.0,0.0,17.2745266,77.15855408,53.444,-1.58664,60.0,0.0,POINT (-106.96806 26.400724),23.166666666666664,0.6412712375988283,85.70621267947631,33.0,39.09703861542775
1259,8,26,2.0,18.0,6.4,34.0,0.0,17.2745266,77.15855408,31.032,-0.2419199999999999,66.0,0.0,POINT (-106.96806 26.400724),24.249999999999996,0.13663623584256462,85.70621267947631,33.0,39.09703861542775
1260,0,12,2.0,31.0,6.9,44.0,0.0,17.28438187,145.3126984,53.444,-1.58664,56.0,0.0,POINT (-109.306465 27.982403),11.75,-0.2537931391123157,100.5966885936262,6.0,203.4344358612087
1261,0,26,2.0,5.0,8.0,40.0,46.3192068429238,16.12764168,189.2955933,8.62,1.1028000000000002,60.0,0.0,POINT (-109.9165 27.290361),6.499999999999999,0.4150034191738209,60.77964393264259,8.4,298.4594586913356
1262,0,29,2.0,4.0,8.3,40.0,46.3192068429238,16.12764168,189.2955933,6.896,1.2062400000000002,60.0,0.0,POINT (-108.02344 27.27812),18.333333333333332,-0.1800031529348853,197.0064950066362,21.2,163.04534966159704
1263,0,22,1.0,3.0,8.3,70.0,46.3192068429238,16.12764168,189.2955933,5.172,1.3096800000000002,30.0,0.0,POINT (-108.70371 27.244425),16.375,-0.08145183545107743,35.358567661355615,12.6,206.3382873826418
1264,0,13,2.0,9.0,6.9,20.0,0.0,16.12764168,189.2955933,15.516,0.6890400000000001,80.0,0.0,POINT (-109.38042 27.796848),6.666666666666667,0.2439031388926462,50.21361280889231,6.0,225.29012912758054
1265,0,10,2.0,7.0,7.2,66.0,46.3192068429238,16.12764168,189.2955933,12.068,0.8959200000000002,34.0,0.0,POINT (-109.33189 27.830738),11.799999999999999,0.12463616353267327,57.552723407156975,11.8,220.04392019602292
1266,0,18,2.0,12.0,8.3,42.0,46.3192068429238,16.12764168,189.2955933,20.688,0.37872000000000017,58.0,0.0,POINT (-109.67035 27.746569),6.3,0.12705277475889318,58.76566702059154,3.0,242.24377959609757
1267,0,29,2.0,5.0,7.8,38.0,46.3192068429238,16.12764168,189.2955933,8.62,1.1028000000000002,62.0,0.0,POINT (-109.892 27.504017),9.166666666666666,0.28460938332393493,74.7650771321496,9.0,276.31666342742875
1268,0,17,2.0,5.0,6.6,72.0,0.0,16.12764168,189.2955933,8.62,1.1028000000000002,28.0,0.0,POINT (-109.76321 27.462248),6.999999999999999,0.3905545374519673,87.64298749771852,6.0,274.60377328709717
1269,0,6,0.8950495049504951,2.0,7.5,62.0,46.3192068429238,16.22111893,130.265152,3.448,1.4131200000000002,38.0,0.0,POINT (-107.80088 24.612978),6.999999999999999,0.507871467122244,69.04055317459603,6.8,128.88686109007878
1270,6,24,0.8950495049504951,5.0,7.5,36.0,46.3192068429238,16.22111893,130.265152,8.62,1.1028000000000002,64.0,0.0,POINT (-107.80088 24.612978),6.5,0.41500341917382083,69.04055317459603,6.8,128.88686109007878
1271,0,22,1.0,10.0,5.6,20.0,0.0,16.22111893,130.265152,17.24,0.5856000000000003,80.0,0.0,POINT (-107.73581 24.81034),10.0,0.12177393265582995,92.13606842741441,5.4,109.06470936950197
1272,0,15,1.0,12.0,6.5,54.0,0.0,16.22111893,130.265152,20.688,0.37872000000000017,46.0,0.0,POINT (-106.68035 24.073044),7.666666666666666,0.10706480643950715,89.47856704805537,11.6,120.26668048079887
1273,0,4,14.5,25.0,7.8,72.0,46.3192068429238,16.22111893,130.265152,43.1,-0.9659999999999997,28.0,0.0,POINT (-107.91561 24.917406),9.3,-0.27880441787059335,56.15320165215451,4.8,117.03954221055892
1274,4,8,0.8950495049504951,6.0,6.7,18.0,0.0,16.22111893,130.265152,10.344,0.9993600000000001,2.0,0.0,POINT (-107.91561 24.917406),11.200000000000001,0.16664174022756278,56.15320165215451,4.8,117.03954221055892
