date,longitude,latitude,upper_depth,lower_depth,country_name,region,continent,elcosp,orgc,phaq,sand,tceq,temperature,precipitation,landcover,silt_plus_clay,organic_matter,bulk_density
1932-02-01,-107.90644,30.004936,0,19,Mexico,Central America,Northern America,0.0,10.0,6.3,68.0,0.0,13.86884212,43.62361145,16.0,32.0,17.24,0.5856000000000003
1979-12-22,-103.46864,21.480116,0,11,Mexico,Central America,Northern America,0.0,4.0,6.7,62.0,0.0,13.86884212,43.62361145,10.0,38.0,6.896,1.2062400000000002
1910-08-24,-103.46864,21.480116,11,22,Mexico,Central America,Northern America,0.1,21.0,5.8,62.0,0.0,13.86884212,43.62361145,10.0,38.0,36.204,-0.5522399999999998
2016-08-13,-103.460594,21.492056,0,4,Mexico,Central America,Northern America,0.2,15.0,4.8,55.0,0.0,13.86884212,43.62361145,10.0,45.0,25.86,0.06840000000000024
1936-02-08,-113.56912,32.013935,0,14,Mexico,Central America,Northern America,0.1,1.0,8.5,90.0,21.0,13.86884212,43.62361145,10.0,10.0,1.724,1.5165600000000001
1967-06-18,-103.62335,21.80286,0,11,Mexico,Central America,Northern America,0.0,10.0,5.7,70.0,0.0,13.86884212,43.62361145,10.0,30.0,17.24,0.5856000000000003
1916-07-14,-103.62335,21.80286,11,19,Mexico,Central America,Northern America,0.0,6.0,5.7,64.0,0.0,13.86884212,43.62361145,10.0,36.0,10.344,0.9993600000000001
1970-03-22,-112.9212,31.836027,0,10,Mexico,Central America,Northern America,0.1,2.0,8.8,72.0,20.0,13.86884212,43.62361145,7.0,28.0,3.448,1.4131200000000002
2002-05-16,-106.190254,31.363863,0,11,Mexico,Central America,Northern America,0.2,0.0,9.7,82.0,100.0,13.86884212,43.62361145,7.0,18.0,0.0,1.62
1969-09-12,-106.190254,31.363863,11,30,Mexico,Central America,Northern America,0.8,0.0,9.6,84.0,70.0,13.86884212,43.62361145,7.0,16.0,0.0,1.62
1932-02-26,-103.86254,20.813507,0,5,Mexico,Central America,Northern America,0.1,21.0,6.4,44.0,0.0,13.86884212,43.62361145,10.0,56.0,36.204,-0.5522399999999998
2024-03-21,-103.82165,21.869883,0,16,Mexico,Central America,Northern America,0.0,9.0,5.7,68.0,0.0,13.86884212,43.62361145,10.0,32.0,15.516,0.6890400000000001
1927-03-16,-113.19645,31.719355,0,22,Mexico,Central America,Northern America,0.2,9.0,8.0,92.0,85.0,13.86884212,43.62361145,7.0,8.0,15.516,0.6890400000000001
2013-09-17,-103.50749,21.977644,0,5,Mexico,Central America,Northern America,0.0,15.0,5.8,64.0,0.0,13.86884212,43.62361145,12.0,36.0,25.86,0.06840000000000024
1915-03-14,-103.50749,21.977644,5,18,Mexico,Central America,Northern America,0.0,5.0,6.3,72.0,0.0,13.86884212,43.62361145,12.0,28.0,8.62,1.1028000000000002
1963-07-12,-103.244644,21.94416,0,17,Mexico,Central America,Northern America,0.1,5.0,4.2,75.0,0.0,13.86884212,43.62361145,7.0,25.0,8.62,1.1028000000000002
1976-07-22,-101.3197,22.143442,0,16,Mexico,Central America,Northern America,0.1,9.0,5.6,46.0,0.0,13.86884212,43.62361145,7.0,54.0,15.516,0.6890400000000001
1981-02-25,-97.67265,19.471657,0,30,Mexico,Central America,Northern America,0.0,0.0,6.0,88.0,0.0,13.86884212,43.62361145,12.0,12.0,0.0,1.62
1918-11-22,-88.05249,21.175644,0,10,Mexico,Central America,Northern America,0.2,47.0,7.0,38.0,0.0,12.58985233,20.71763039,2.0,62.0,81.028,-3.2416799999999997
1942-05-04,-88.05249,21.175644,10,25,Mexico,Central America,Northern America,0.1,25.0,6.5,20.0,0.0,12.58985233,20.71763039,2.0,80.0,43.1,-0.9659999999999997
2024-07-15,-114.769485,32.67868,0,15,Mexico,Central America,Northern America,0.2,1.0,9.0,62.0,80.0,12.58985233,20.71763039,7.0,38.0,1.724,1.5165600000000001
1964-06-23,-114.478386,32.39065,0,10,Mexico,Central America,Northern America,0.1,0.0,8.8,80.0,33.0,12.58985233,20.71763039,7.0,20.0,0.0,1.62
1938-01-26,-114.478386,32.39065,10,16,Mexico,Central America,Northern America,0.3,1.0,9.4,78.0,40.0,12.58985233,20.71763039,7.0,22.0,1.724,1.5165600000000001
1996-09-25,-103.71003,20.928541,0,15,Mexico,Central America,Northern America,0.1,15.0,5.8,46.0,0.0,12.58985233,20.71763039,10.0,54.0,25.86,0.06840000000000024
2006-06-07,-95.321175,17.194017,0,10,Mexico,Central America,Northern America,0.1,49.0,4.4,76.0,0.0,16.13668633,110.0056458,9.0,24.0,84.476,-3.4485599999999996
