bedrock,date,ecoregion,elcosp,geometry,landcover,latitude,longitude,lower_depth,orgc,phaq,precipitation,sand,slopemean,soil_type,tceq,temperature,upper_depth,rock_fragments,organic_matter,bulk_density,silt_plus_clay,depth_fraction,sic_tha
rocas_igneas,11/8/2002,5,0.0,POINT (-103.50749 21.977644),12.0,21.977644,-103.50749,18,5.0,6.3,43.62361145,72.0,0.9798130989074707,LUVISOL FERRICO,0.0,13.86884212,5,12.689151570561277,8.62,1.1028000000000002,28.0,13,6.258616237119029
rocas_igneas,4/20/2004,4,0.0,POINT (-103.765656 23.24556),10.0,23.24556,-103.765656,13,6.0,6.1,83.12443542,70.0,15.028743743896484,CAMBISOL CROMICO,0.0,16.3982811,0,15.385395956922459,10.344,0.9993600000000001,30.0,13,6.5957151543262205
rocas_igneas,4/22/2003,3,0.1,POINT (-103.926476 19.463894),8.0,19.463894,-103.926476,19,36.0,6.6,49.94464874,62.0,2.1285263895988464,ANDOSOL OCRICO,0.0,16.51515007,6,0.1267682053414837,62.064,-2.10384,38.0,13,-98.3348963901132
rocas_igneas,4/22/2004,5,0.0,POINT (-103.59898 23.182348),10.0,23.182348,-103.59898,15,6.0,5.9,83.12443542,78.0,2.058890324831009,FEOZEM LUVICO,0.0,16.3982811,0,13.849335302589033,10.344,0.9993600000000001,22.0,15,7.748597544480418
rocas_igneas,4/27/2004,5,0.1,POINT (-103.10288 23.595865),7.0,23.595865,-103.10288,18,8.0,6.1,83.12443542,82.0,0.4592507779598236,XEROSOL CALCICO,0.0,16.3982811,0,9.212955661861425,13.792,0.7924800000000002,18.0,18,10.360356033180684
rocas_igneas,5/25/2005,5,0.2,POINT (-111.47481 28.516706),7.0,28.516706,-111.47481,12,7.0,8.7,88.00628662,68.0,0.21283130809054296,XEROSOL HAPLICO,23.0,16.90192795,0,0.14179936840323196,12.068,0.8959200000000002,32.0,12,7.515056565228257
rocas_igneas,5/25/2005,5,0.7,POINT (-111.4076 28.401909),7.0,28.401909,-111.4076,22,3.0,9.8,88.00628662,76.0,0.21283130809054296,XEROSOL LUVICO,27.0,16.90192795,0,0.14179936840323196,5.172,1.3096800000000002,24.0,22,8.63163102141052
rocas_igneas,6/27/2003,5,0.3,POINT (-100.43726 21.624067),8.0,21.624067,-100.43726,16,7.0,5.9,211.8241882,78.0,1.859170377254486,LUVISOL CROMICO,0.0,16.66122246,0,21.88174559517444,12.068,0.8959200000000002,22.0,16,7.838623126473588
rocas_igneas,6/3/2004,5,7.4,POINT (-101.39571 24.67359),7.0,24.67359,-101.39571,12,3.0,9.3,175.6390991,81.0,2.564791202544635,XEROSOL CALCICO,572.0,16.9322319,0,16.773140873735542,5.172,1.3096800000000002,19.0,12,3.924019902977498
rocas_igneas,7/12/2004,2,0.3,POINT (-95.978455 16.00422),9.0,16.00422,-95.978455,14,17.0,5.2,165.5812531,77.0,0.845860759417216,REGOSOL EUTRICO,0.0,16.67821503,0,10.262256558561912,29.308,-0.13847999999999971,23.0,14,-2.9575980854013366
