date,profile_id,longitude,latitude,upper_depth,lower_depth,country_name,bdfi33,bdfiod,bdwsod,cecph7,cfgr,cfvo,clay,ecec,elco20,elcosp,nitkjd,orgc,phaq,phca,phetb1,phkc,phnf,phprtn,sand,silt,tceq,totc,wg0006,wg0010,wg0033,wg0200,wg1500
1971-11-27,1496976,-101.59946610880245,20.29322430972231,0,30,Mexico,,,,,,,56.0,,,2.0,,8.0,7.6,,,,,,28.0,16.0,,,,,,,
1971-11-6,1601454,-100.74494516001711,20.03754689874115,0,22,Mexico,,,,,,,46.0,,,2.0,,14.0,6.5,,,,,,40.0,14.0,0.0,,,,,,
1971-11-8,1462252,-100.565061602455,20.460967535105976,0,20,Mexico,,,,,,,62.0,,,2.0,,13.0,6.5,,,,,,24.0,14.0,0.0,,,,,,
1971-12-1,1149340,-102.62781336917645,20.952244281650177,0,17,Mexico,,,,,,,56.0,,,2.0,,8.0,6.3,,,,,,20.0,24.0,0.0,,,,,,
1971-12-1,1636173,-102.50207078900648,20.970768883606922,0,15,Mexico,,,,,,,18.0,,,2.0,,4.0,6.7,,,,,,54.0,28.0,0.0,,,,,,
1971-12-1,1636173,-102.50207078900648,20.970768883606922,15,21,Mexico,,,,,,,14.0,,,2.0,,2.0,6.9,,,,,,58.0,28.0,0.0,,,,,,
1971-12-10,1566586,-100.01371228867816,20.070081208570695,0,19,Mexico,,,,,,,20.0,,,2.0,,12.0,5.8,,,,,,58.0,22.0,0.0,,,,,,
1971-12-10,1566586,-100.01371228867816,20.070081208570695,19,30,Mexico,,,,,,,24.0,,,2.0,,6.0,5.9,,,,,,58.0,18.0,0.0,,,,,,
1971-12-11,1219148,-101.4291797550349,20.789950290992937,0,30,Mexico,,,,,,,46.0,,,2.0,,9.0,6.9,,,,,,38.0,16.0,0.0,,,,,,
1971-12-12,1184328,-101.74149511453743,21.985065591521078,0,16,Mexico,,,,,,,36.0,,,2.0,,5.0,6.9,,,,,,34.0,30.0,0.0,,,,,,
1971-12-12,1531753,-100.11256088455853,21.320322107508705,0,15,Mexico,,,,,,,38.0,,,2.0,,6.0,4.8,,,,,,20.0,42.0,0.0,,,,,,
1971-12-7,1253953,-101.76718312578653,21.334268617849684,0,15,Mexico,,,,,,,18.0,,,2.0,,6.0,5.8,,,,,,66.0,16.0,0.0,,,,,,
